TIPO,        VALOR,       ETQ,         CODOP,       OPER 
DIR_INIC,        4040,       NULL,       ORG,       $4040,       
CONTLOC,       4040,       ET1,       SWI,       NULL,       
CONTLOC,       4041,       DOS,       EORA,       5,       
CONTLOC,       4043,       NULL,       EORA,       @5,       
CONTLOC,       4045,       TRES,       EORA,       %111,       
CONTLOC,       4047,       NULL,       EORA,       $6,       
CONTLOC,       4049,       NULL,       EORA,       300,       
CONTLOC,       404C,       NULL,       EORA,       $FFF,       
CONTLOC,       404F,       NULL,       EORA,       #5,       
CONTLOC,       4051,       NULL,       EORA,       #@5,       
CONTLOC,       4053,       NULL,       EORA,       1,X,       
CONTLOC,       4055,       UNO,       EORA,       255,X,       
CONTLOC,       4058,       NULL,       EORA,       32768,X,       
CONTLOC,       405C,       NULL,       EORA,       A,X,       
CONTLOC,       405E,       NULL,       EORA,       254,X,       
CONTLOC,       4061,       NULL,       EORA,       64444,X,       
CONTLOC,       4065,       NULL,       EORA,       [1,X],       
CONTLOC,       4069,       NULL,       EORA,       [6444,X],       
CONTLOC,       406D,       NULL,       EORA,       [D,X],       
CONTLOC,       406F,       NULL,       BLT,       $12,       
CONTLOC,       4071,       NULL,       LBLT,       UNO,       
CONTLOC,       4075,       NULL,       IBNE,       A,UNO,       
CONTLOC,       4078,       NULL,       NOP,       NULL,       
CONTLOC,       4079,       NULL,       INX,       NULL,       
CONTLOC,       407A,       ET2,       ADCA,       #3,       
VALOR,       0007,       TRES,       EQU,       %111,       
CONTLOC,       407C,       UNO,       DS.B,       3,       
CONTLOC,       407F,       NULL,       DC.W,       4,$3,       
CONTLOC,       4083,       NULL,       DC.B,       "ABC",       
CONTLOC,       4086,       NULL,       END,       NULL,       
